Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	10	4	2.52982	1.26655	0.762493	0.0015582
2	10	-2	1.89737	-0.643175	0.753544	0.0027221
4	10	0	2.44949	0.234446	0.678043	0.0054035
8	10	13	4.01248	2.50099	1.50163	0.0099127
16	10	12	4.19524	2.80346	1.75441	0.0187558
32	10	18	4.42719	5.46881	2.29277	0.0342821
64	10	24	7.50999	6.26652	2.18082	0.0676235
128	10	24	8.27043	5.46873	3.03578	0.114343
256	10	25	7.24569	5.32829	2.19957	0.217761
512	10	15	3.53553	1.72455	1.79214	0.387502
1024	10	19	6.23699	7.48005	3.10771	0.642604
2048	10	10	7.87401	5.56198	2.55242	1.8472
4096	10	22	6.13188	7.51762	2.99709	2.84997
8192	10	36	2.52982	13.2166	1.43446	4.37465
16384	10	38	3.68782	15.8663	1.17273	10.1555
32768	10	34	5.51362	14.1298	2.93543	23.8549
65536	10	20	2.44949	10.5801	1.09129	43.8903
131072	10	31	4.98999	12.9117	2.29319	104.04
262144	10	47	5.10882	20.8934	2.06797	179.944
