Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	30	4.33333	1.86687	1.13334	0.488922	0.0011806
2	30	5	2.14735	0.507935	0.606605	0.00186767
4	30	10.3333	1.85492	1.09775	0.459349	0.00313013
8	30	13	2.79484	2.31268	1.18374	0.00471453
16	30	12.6667	2.40062	2.90842	0.829765	0.00821647
32	30	18.6667	2.73794	6.41694	1.1268	0.0127587
64	30	18.6667	2.24763	6.04322	1.3022	0.0204026
128	30	20	2.3094	7.37655	1.47204	0.0348138
256	30	17.6667	2.1439	7.58853	1.34475	0.073093
512	30	21.3333	2.29654	10.2281	1.33064	0.127961
1024	30	15.6667	2.09143	7.40995	1.23888	0.201749
2048	30	19.3333	1.88169	9.69201	1.03554	0.433184
4096	30	19.3333	1.24127	11.264	0.824167	0.664312
8192	30	19.3333	1.14827	12.2713	0.802909	1.07441
