Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	10	5	2.12132	0.179626	0.203266	0.0010023
2	10	11	2.21359	0.395676	0.255542	0.0015787
4	10	6	4.28952	-0.67948	0.776611	0.0034117
8	10	13	4.01248	1.0244	1.46793	0.0058776
16	10	11	4.78539	-0.409216	1.63479	0.0079814
32	10	17	2.46982	4.71891	1.57392	0.0123652
64	10	23	5.30094	7.44593	2.19547	0.0247745
128	10	22	5.25357	9.3441	3.06144	0.0407969
256	10	25	3.53553	11.2154	1.65846	0.0645144
512	10	26	2.52982	14.849	1.46501	0.0938884
1024	10	22	2.75681	9.72817	1.52178	0.259255
2048	10	21	3.30151	8.92378	1.53354	0.51679
4096	10	20	2.44949	11.7296	1.43366	0.63142
8192	10	19	2.62679	11.9029	1.70198	1.10976
16384	10	23	2.84605	14.1156	1.71396	2.48448
32768	10	20	2.44949	12.9631	1.75792	4.53364
65536	10	20	2.44949	12.7997	1.7052	8.36663
131072	10	23	2.02485	15.15	1.52774	15.1713
262144	10	23	2.84605	14.6111	1.99275	28.623
524288	10	24	2.89828	14.592	1.59558	68.3881
