Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	20	4	2.68328	0.839573	0.576513	0.0012982
2	20	5	1.5	0.537051	0.4506	0.0023232
4	20	6.5	2.93896	1.60096	1.00746	0.00351645
8	20	3.5	3.26152	-0.208889	0.638847	0.00601315
16	20	15.5	3.90352	3.11612	1.58684	0.0094316
32	20	16.5	3.02283	5.6685	1.30793	0.0137305
64	20	18.5	2.26661	5.1901	1.48814	0.0225848
128	20	15	2.5	5.47259	1.25645	0.0464335
256	20	17	2.65518	7.74131	1.60417	0.0572546
512	20	22	2.70185	9.36572	1.61686	0.130156
1024	20	21.5	2.67161	11.3001	1.47712	0.217831
2048	20	19.5	1.65454	10.6522	1.14483	0.356289
4096	20	22.5	1.98431	13.2008	1.5083	0.719355
8192	20	21	1.98746	11.8731	1.04912	1.37141
16384	20	23	1.74642	14.3794	1.09553	2.50029
32768	20	23	1.88414	14.3636	1.4207	4.3493
65536	20	25	1.80278	15.9914	1.14348	7.45248
131072	20	25.5	1.31814	16.4734	0.987834	16.5217
