Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	10	5	2.12132	0.179626	0.203266	0.0011599
2	10	11	2.21359	0.395676	0.255542	0.0018583
4	10	6	4.28952	-0.67948	0.776611	0.0038818
8	10	13	4.01248	1.0244	1.46793	0.00586
16	10	9	4.98999	1.25162	1.86668	0.0061237
32	10	18	6.13188	3.20337	1.97167	0.0140346
64	10	13	4.70106	1.56289	1.56863	0.0232906
128	10	22	2.75681	9.12819	2.02077	0.0336685
256	10	27	3.17805	10.6709	1.89593	0.0762753
512	10	18	3.09839	8.01167	1.87245	0.11715
1024	10	21	4.11096	10.0125	2.55301	0.203417
2048	10	21	3.59166	12.0892	2.20016	0.33996
4096	10	23	2.02485	13.4192	1.46999	0.642917
8192	10	24	3.52136	13.7548	2.14486	1.35468
16384	10	24	2.09762	14.9801	1.15424	2.21427
32768	10	22	1.89737	14.292	1.268	4.1465
65536	10	20	3.16228	12.9634	2.27977	7.53585
131072	10	26	2.52982	15.8392	1.715	17.2967
