Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	5	4	2.19089	-0.0134333	0.190523	0.0012742
2	5	10	4	1.34223	0.855296	0.0017708
4	5	6	3.57771	1.06206	0.992126	0.0028984
8	5	16	3.57771	2.81242	0.920557	0.0035766
16	5	26	2.19089	10.1562	1.90291	0.0072976
32	5	10	5.65685	-0.777113	3.15253	0.015921
64	5	20	9.38083	5.98421	4.33446	0.0224456
128	5	18	6.57267	7.74009	3.59224	0.0395342
256	5	26	4.5607	11.3687	2.03886	0.07146
512	5	20	4.89898	9.41249	3.11686	0.135579
1024	5	24	5.36656	10.7466	3.17342	0.222051
2048	5	20	6.32456	10.0045	3.15846	0.340797
4096	5	24	2.19089	14.54	1.11582	0.626404
8192	5	16	3.57771	9.51893	2.23676	0.998591
16384	5	28	5.21536	16.2033	2.52954	2.68245
32768	5	20	4	13.1444	2.59536	3.58836
65536	5	20	2.82843	12.9678	1.80652	8.81208
131072	5	24	3.57771	15.3154	2.63503	14.1007
