Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	10	13	2.84605	1.79296	2.0693	0.0005204
2	10	8	3.40588	1.47324	1.90035	0.0004263
4	10	11	2.98329	4.13156	1.86201	0.0007878
8	10	14	2.09762	7.55136	2.35866	0.0008527
16	10	16	4.04969	8.95306	2.86411	0.0012578
32	10	8	3.09839	4.26859	2.58662	0.0014424
64	10	16	2.89828	10.0765	2.34151	0.0035937
128	10	12	3.09839	7.49269	2.6951	0.0070428
256	10	12	2.75681	9.28799	2.5109	0.0096334
512	10	8	1.89737	5.17531	1.82041	0.0193849
1024	10	15	2.54951	12.1941	2.31817	0.0333207
2048	10	13	1.44914	10.754	1.15924	0.0461771
4096	10	11	0.948683	9.01576	0.869554	0.0802809
8192	10	12	1.26491	9.76599	1.18644	0.146221
16384	10	20	2.82843	16.3658	2.07475	0.248727
32768	10	14	1.54919	11.6662	1.41712	0.323345
65536	10	14	1.54919	11.7435	1.39406	0.565645
131072	10	14	2.52982	11.2621	1.90448	0.998676
262144	10	14	2.52982	11.0603	1.90801	2.09252
524288	10	11	0.948683	8.99639	0.834184	4.06612
1048576	10	13	1.44914	11.0872	1.27432	6.5866
